Timestamp,Open,High,Low,Close,Volume
1438992000000,1.65,1.85,0.50000021,1.40000001,176.53943824
1439078400000,1.40000001,1.40000001,1.40000001,1.40000001,0.0
1439164800000,1.40000001,1.40000001,1.40000001,1.40000001,0.0
1439251200000,0.66000001,1.14,0.55000001,1.1,251.51708151
1439337600000,1.05000001,1.39999999,0.9000006,1.38,404.34478077
1439424000000,1.3,2.15,1.3,2.14,347.83749051
1439510400000,2.14,2.15,2.14,2.15,24.91939484
1439596800000,1.625,2.19999999,1.15000001,1.5,33.62755862
1439683200000,1.769999,1.77,1.11,1.12000001,199.61202688
1439769600000,1.7699999,1.7699999,1.34,1.52,26.25519431
1439856000000,1.565,1.565,1.01,1.01,92.15136276
1439942400000,1.085,1.4,1.085,1.3,66.18019973
1440028800000,1.25000001,1.72999995,1.25000001,1.72999995,360.5846733
1440115200000,1.4410014,1.72999367,1.44,1.5,304.20099009
1440201600000,1.33000064,1.33000064,1.33000064,1.33000064,0.58942723
1440288000000,1.34,1.49999999,1.33000259,1.49999999,65.09798216
1440374400000,1.33002077,1.39999999,1.2399999,1.3,148.95030874
1440460800000,1.05100001,1.39999998,1.05,1.05,27.4856816
1440547200000,1.09999999,1.14,1.00000001,1.00000001,81.68450131
1440633600000,1.27,1.27,1.27,1.27,0.00190952
1440720000000,1.1,1.1,1.06000001,1.06000001,1.00568924
1440806400000,1.06000001,1.06000001,1.06000001,1.06000001,0.0
1440892800000,1.23,1.27,1.23,1.27,1803.09981041
1440979200000,1.28,1.3,1.28,1.3,263.85196884
1441065600000,1.18000001,1.39099999,1.18000001,1.2500005,171.11728546
1441152000000,1.26000045,1.26000132,1.26000045,1.26000132,38.9642
1441238400000,1.26000001,1.37339966,1.2194,1.37,191.88244354
1441324800000,1.21940001,1.21940001,1.21939998,1.21939998,15.38618577
1441411200000,1.37336823,1.37336823,1.16100001,1.37336823,45.72054699
1441497600000,1.16100001,1.21000001,1.16100001,1.21,39.811088
1441584000000,1.16200001,1.34999999,1.16200001,1.34999985,320.59469966
1441670400000,1.34999985,1.34999985,1.34999985,1.34999985,0.0
1441756800000,1.29999945,1.29999946,1.29999945,1.29999946,18.41693846
